2018-11-01 20:34:38 status installed libc-bin:amd64 2.27-3ubuntu1
2018-11-01 20:43:50 startup archives unpack
2018-11-01 20:43:50 install vim-runtime:all <none> 2:8.0.1453-1ubuntu1
2018-11-01 20:43:50 status half-installed vim-runtime:all 2:8.0.1453-1ubuntu1
2018-11-01 20:43:50 status triggers-pending man-db:amd64 2.8.3-2
2018-11-01 20:43:54 status unpacked vim-runtime:all 2:8.0.1453-1ubuntu1
2018-11-01 20:43:54 status unpacked vim-runtime:all 2:8.0.1453-1ubuntu1
2018-11-01 20:43:54 install vim:amd64 <none> 2:8.0.1453-1ubuntu1
2018-11-01 20:43:54 status half-installed vim:amd64 2:8.0.1453-1ubuntu1
2018-11-01 20:43:54 status unpacked vim:amd64 2:8.0.1453-1ubuntu1
2018-11-01 20:43:54 status unpacked vim:amd64 2:8.0.1453-1ubuntu1
2018-11-01 20:43:54 startup packages configure
2018-11-01 20:43:54 trigproc man-db:amd64 2.8.3-2 <none>
2018-11-01 20:43:54 status half-configured man-db:amd64 2.8.3-2
2018-11-01 20:43:56 status installed man-db:amd64 2.8.3-2
2018-11-01 20:43:56 configure vim-runtime:all 2:8.0.1453-1ubuntu1 <none>
2018-11-01 20:43:56 status unpacked vim-runtime:all 2:8.0.1453-1ubuntu1
2018-11-01 20:43:56 status half-configured vim-runtime:all 2:8.0.1453-1ubuntu1
2018-11-01 20:43:57 status installed vim-runtime:all 2:8.0.1453-1ubuntu1
2018-11-01 20:43:57 configure vim:amd64 2:8.0.1453-1ubuntu1 <none>
2018-11-01 20:43:57 status unpacked vim:amd64 2:8.0.1453-1ubuntu1
2018-11-01 20:43:57 status half-configured vim:amd64 2:8.0.1453-1ubuntu1
2018-11-01 20:43:57 status installed vim:amd64 2:8.0.1453-1ubuntu1
